,property_type,society,sector,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,Wardrobe,furnishing_type,luxury_score
3418,flat,dlf regal gardens,sector 90,1.29,9021.0,1430.0,3.0,3.0,3,7.0,East,Relatively New,1702.0,1540.0,1430.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0
3419,flat,emaar palm gardens,sector 83,1.8,9474.0,1900.0,3.0,4.0,0,9.0,Na,Undefined,,1900.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0
3420,flat,indiabulls centrum park,sector 103,1.15,8679.0,1325.0,2.0,2.0,3,10.0,North-East,Relatively New,1325.0,,865.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,174.0
3421,flat,godrej aria,sector 79,1.3,9623.0,1351.0,2.0,4.0,2,3.0,East,Relatively New,1351.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
3422,flat,sbtl caladium,sector 109,1.6,6287.0,2545.0,3.0,3.0,3,9.0,North,Relatively New,2545.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0
3423,flat,dlf regal gardens,sector 90,1.25,6460.0,1935.0,3.0,3.0,3,10.0,South,Relatively New,1703.0,1650.0,1600.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,38.0
3424,flat,shree vardhman victoria,sector 70,1.8,9231.0,1950.0,3.0,4.0,3,2.0,South-West,New Property,1950.0,,1161.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,45.0
3425,flat,emaar mgf emerald floors premier,sector 65,2.35,14242.0,1650.0,3.0,3.0,3,2.0,South-West,Relatively New,,1650.0,1200.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,158.0
3426,house,independent,sector 26,7.0,39260.0,1783.0,5.0,5.0,2,3.0,North-East,Relatively New,1783.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0
3427,house,independent,sector 50,7.0,32407.0,2160.0,3.0,2.0,0,1.0,,Undefined,,240.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3428,house,suncity township,sector 54,2.0,3440.0,5814.0,9.0,9.0,3,11.0,North,Relatively New,,60.0,59.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,7.0
3429,flat,parsvnath green ville,sector 48,1.86,7654.0,2430.0,3.0,3.0,3+,6.0,North,Moderately Old,2430.0,,,0.0,1.0,0.0,0.0,0.0,3.0,1.0,94.0
3430,flat,dlf the ultima,sector 81,2.25,10553.0,2132.0,3.0,3.0,3+,15.0,North-East,Relatively New,2132.0,,,0.0,1.0,0.0,0.0,0.0,3.0,2.0,165.0
3431,flat,central park resorts,sector 48,5.15,20901.0,2464.0,3.0,3.0,3+,8.0,North-West,Moderately Old,2464.0,2364.0,2264.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,53.0
3432,flat,emaar mgf the palm drive,sector 66,2.85,14615.0,1950.0,3.0,3.0,3,11.0,North-East,Relatively New,1950.0,1920.0,1550.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,67.0
3433,flat,siddhi vinayak apartments,sector 55,1.44,9600.0,1500.0,3.0,3.0,2,6.0,South,Moderately Old,1850.0,1700.0,1500.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,47.0
3434,house,ashok vihar phase iii extension,sector 3 phase 3 extension,0.4,8889.0,450.0,7.0,4.0,3+,4.0,,New Property,450.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0
3435,house,independent,sector 14,5.0,22222.0,2250.0,3.0,3.0,3,1.0,South,Moderately Old,2250.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
3436,flat,signature global grand iva,sector 103,0.23,6534.0,352.0,1.0,1.0,1,4.0,North-East,Relatively New,,,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
3437,house,international city by sobha phase 1,sector 109,5.7,10556.0,5400.0,4.0,4.0,3+,4.0,East,Relatively New,5400.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,98.0
3438,flat,shree vardhman flora,sector 90,0.65,4815.0,1350.0,2.0,2.0,3,6.0,East,Relatively New,1350.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
3439,flat,antriksh heights,sector 84,0.49,4356.0,1125.0,2.0,2.0,2,16.0,East,Relatively New,1125.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
3440,house,independent,sector 31,4.25,26235.0,1620.0,5.0,5.0,3+,3.0,North-East,Moderately Old,,200.0,180.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,56.0
3441,house,unitech espace,sector 50,7.35,41761.0,1760.0,4.0,4.0,3+,3.0,South,Moderately Old,1760.0,,,0.0,1.0,0.0,1.0,0.0,5.0,1.0,52.0
3442,flat,puri emerald bay,sector 104,2.65,15006.0,1766.0,3.0,4.0,3,15.0,North-East,Relatively New,2450.0,,1765.73,0.0,1.0,0.0,0.0,0.0,3.0,1.0,174.0
3443,house,uppal southend,sector 49,6.75,32328.0,2088.0,12.0,12.0,3+,3.0,North,Moderately Old,2088.0,,,1.0,1.0,0.0,1.0,1.0,19.0,1.0,49.0
3444,flat,vatika gurgaon,sector 83,1.25,7812.0,1600.0,4.0,4.0,3,12.0,South-West,Moderately Old,2390.0,,1600.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,103.0
3445,flat,m3m golf hills,sector 79,1.45,10211.0,1420.0,2.0,2.0,3,15.0,Na,Under Construction,,,1420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
3446,flat,signature global park,sohna road,0.54,6331.0,853.0,2.0,2.0,2,4.0,West,Relatively New,,,845.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,159.0
